Kon;Alder;Alder;Alder10;Avdelning;Omfattning;Franvaro;Lon;Anstallning;Fortroendearbetstid;Karriarniva;Arbetsomrade;Arbetsomrade1;Personalansvar;Anstalld_sedan
kvinna;51;50-54;50-59;Administration;100;0;49470;Tidsbegränsad;Ja;3;10;1;;2015-11-03
kvinna;39;35-39;30-39;Administration;100;2;39950;Tidsbegränsad;Ja;3;10;1;;2016-08-31
kvinna;35;35-39;30-39;Administration;100;0;34850;Tillsvidare;Nej;3;10;1;;2012-05-15
man;28;25-29;-29;Administration;100;0;29070;Tillsvidare;Nej;3;10;1;;2015-08-25
kvinna;27;25-29;-29;Administration;100;0;24650;Tidsbegränsad;Nej;3;10;1;;2016-11-15
kvinna;47;45-49;40-49;Administration;100;0;36975;Tillsvidare;Nej;3;10;1;;2005-01-25
kvinna;37;35-39;30-39;Administration;100;100;36550;Tillsvidare;Nej;3;10;1;;2015-02-17
kvinna;37;35-39;30-39;Administration;100;0;35700;Tillsvidare;Ja;3;10;1;;2009-02-03
man;35;35-39;30-39;Administration;100;0;36380;Tillsvidare;Ja;3;10;1;;2015-04-07
man;34;30-34;30-39;Administration;100;0;34000;Tidsbegränsad;Ja;3;10;1;;2016-08-04
kvinna;32;30-34;30-39;Administration;100;0;33575;Tillsvidare;Nej;3;10;1;;2015-04-01
kvinna;34;30-34;30-39;Administration;100;0;34000;Tidsbegränsad;Nej;3;10;1;;2017-03-07
kvinna;32;30-34;30-39;Administration;100;10;30685;Tillsvidare;Nej;3;10;1;;2012-06-12
kvinna;46;45-49;40-49;Administration;100;0;33745;Tillsvidare;Nej;3;10;1;;2011-10-25
man;57;55-59;50-59;Administration;100;0;41990;Tillsvidare;Nej;4;10;1;;2000-02-15
man;43;40-44;40-49;Administration;100;0;40375;Tillsvidare;Ja;4;10;1;;2008-09-16
kvinna;43;40-44;40-49;Administration;100;0;40970;Tillsvidare;Nej;4;10;1;;2006-05-01
kvinna;39;35-39;30-39;Administration;100;0;43350;Tillsvidare;Ja;4;10;1;;2007-09-01
man;53;50-54;50-59;Administration;100;0;39440;Tillsvidare;Ja;4;10;1;;1992-03-03
kvinna;48;45-49;40-49;Administration;100;0;38590;Tillsvidare;Nej;4;10;1;;1999-09-21
kvinna;46;45-49;40-49;Administration;100;0;42670;Tillsvidare;Ja;4;10;1;;1998-12-01
man;46;45-49;40-49;Administration;100;20;40290;Tillsvidare;Ja;4;10;1;;2003-03-25
kvinna;43;40-44;40-49;Administration;100;35;44200;Tillsvidare;Nej;4;10;1;;2012-04-17
kvinna;42;40-44;40-49;Administration;100;15;40205;Tillsvidare;Ja;4;10;1;;2003-08-05
kvinna;40;40-44;40-49;Administration;100;0;38930;Tillsvidare;Nej;4;10;1;;2005-09-15
man;42;40-44;40-49;Administration;100;0;39270;Tillsvidare;Nej;4;10;1;;2009-04-15
